Date,Price
2014-01-01,29542
2014-01-02,29975
2014-01-03,29727
2014-01-04,29279
2014-01-06,29119
2014-01-07,28959
2014-01-08,28934
2014-01-09,28997
2014-01-10,29169
2014-01-13,29312
2014-01-14,29198
2014-01-15,29150
2014-01-16,29168
2014-01-17,29385
2014-01-20,29414
2014-01-21,29362
2014-01-22,29269
2014-01-23,29394
2014-01-24,29574
2014-01-27,29905
2014-01-28,29628
2014-01-29,29835
2014-01-30,29499
2014-01-31,29482
2014-02-03,29789
2014-02-04,29534
2014-02-05,29719
2014-02-06,29231
2014-02-07,29310
2014-02-10,29471
2014-02-11,29670
2014-02-12,29698
2014-02-13,29726
2014-02-14,29932
2014-02-17,30664
2014-02-18,30766
2014-02-19,30712
2014-02-20,30608
2014-02-21,30677
2014-02-24,30927
2014-02-25,30972
2014-02-26,30810
2014-02-27,30839
2014-02-28,30634
2014-03-03,32051
2014-03-04,31126
2014-03-05,32351
2014-03-06,30416
2014-03-07,30307
2014-03-10,30327
2014-03-11,30421
2014-03-12,30627
2014-03-13,30697
2014-03-14,30719
2014-03-17,30557
2014-03-18,30389
2014-03-19,30169
2014-03-20,29924
2014-03-21,29850
2014-03-24,29182
2014-03-25,28971
2014-03-26,28595
2014-03-27,28521
2014-03-28,28434
2014-03-31,28470
2014-04-01,28116
2014-04-02,28404
2014-04-03,28460
2014-04-04,28519
2014-04-05,28549
2014-04-07,28574
2014-04-08,28754
2014-04-09,28710
2014-04-10,29094
2014-04-11,29085
2014-04-14,29350
2014-04-15,29342
2014-04-16,29290
2014-04-17,29293
2014-04-19,29339
2014-04-21,29548
2014-04-22,29423
2014-04-23,29752
2014-04-25,29741
2014-04-27,29695
2014-04-28,29824
2014-04-29,29713
2014-04-30,31014
2014-05-01,30380
2014-05-02,30182
2014-05-05,29967
2014-05-06,29109
2014-05-07,28747
2014-05-08,28734
2014-05-09,28741
2014-05-12,28860
2014-05-13,28673
2014-05-14,28911
2014-05-15,28624
2014-05-16,28322
2014-05-19,28336
2014-05-20,28424
2014-05-21,27501
2014-05-22,27386
2014-05-23,27528
2014-05-26,27586
2014-05-27,27087
2014-05-28,26987
2014-05-29,26984
2014-05-30,27151
2014-06-02,26626
2014-06-03,26732
2014-06-04,26708
2014-06-05,26771
2014-06-06,26400
2014-06-09,26545
2014-06-10,26712
2014-06-11,26736
2014-06-12,27014
2014-06-13,27235
2014-06-16,27395
2014-06-17,27418
2014-06-18,27353
2014-06-19,28160
2014-06-20,28154
2014-06-23,28111
2014-06-24,28167
2014-06-25,28221
2014-06-26,28126
2014-06-27,28063
2014-06-30,28076
2014-07-01,27975
2014-07-02,27788
2014-07-03,27802
2014-07-04,27913
2014-07-07,27564
2014-07-08,27594
2014-07-09,27667
2014-07-10,28565
2014-07-11,28441
2014-07-12,28413
2014-07-13,28413
2014-07-14,27860
2014-07-15,27752
2014-07-16,27767
2014-07-17,28237
2014-07-18,28028
2014-07-20,28030
2014-07-21,28120
2014-07-22,27939
2014-07-23,27915
2014-07-24,27651
2014-07-25,27973
2014-07-27,27960
2014-07-28,27909
2014-07-29,27855
2014-07-30,27936
2014-07-31,27788
2014-08-01,28037
2014-08-04,27952
2014-08-05,28392
2014-08-06,28559
2014-08-07,28695
2014-08-08,28515
2014-08-10,28510
2014-08-11,28554
2014-08-12,28641
2014-08-13,28567
2014-08-14,28489
2014-08-18,28167
2014-08-19,28124
2014-08-20,28079
2014-08-21,27599
2014-08-22,27634
2014-08-25,27632
2014-08-26,27720
2014-08-27,27599
2014-08-28,27884
2014-08-29,27794
2014-09-01,27679
2014-09-02,27340
2014-09-03,27355
2014-09-04,27282
2014-09-05,27225
2014-09-08,27207
2014-09-09,27272
2014-09-10,27194
2014-09-11,26996
2014-09-12,26909
2014-09-13,26900
2014-09-15,27006
2014-09-16,26954
2014-09-17,26907
2014-09-18,26659
2014-09-19,26497
2014-09-22,26605
2014-09-23,26682
2014-09-24,26552
2014-09-25,26919
2014-09-26,26694
2014-09-27,26693
2014-09-29,26819
2014-09-30,26805
2014-10-01,26790
2014-10-03,26439
2014-10-05,26424
2014-10-06,26637
2014-10-07,26673
2014-10-08,26633
2014-10-09,26847
2014-10-10,26855
2014-10-13,26855
2014-10-14,27128
2014-10-16,27328
2014-10-17,27151
2014-10-20,27302
2014-10-21,27394
2014-10-22,27333
2014-10-23,26940
2014-10-24,26963
2014-10-27,27008
2014-10-28,26909
2014-10-29,26864
2014-10-30,26376
2014-10-31,25924
2014-11-03,25868
2014-11-04,25810
2014-11-05,25348
2014-11-06,25467
2014-11-07,25926
2014-11-10,25719
2014-11-11,25793
2014-11-12,25794
2014-11-13,25827
2014-11-14,26458
2014-11-16,26411
2014-11-17,26319
2014-11-18,26587
2014-11-19,26710
2014-11-20,26459
2014-11-21,26390
2014-11-24,26473
2014-11-25,26338
2014-11-26,26397
2014-11-27,26237
2014-11-28,25853
2014-12-01,26546
2014-12-02,26224
2014-12-03,26496
2014-12-04,26488
2014-12-05,26279
2014-12-08,26228
2014-12-09,27023
2014-12-10,27054
2014-12-11,27142
2014-12-12,27088
2014-12-15,27173
2014-12-16,27044
2014-12-17,26802
2014-12-18,26659
2014-12-19,26859
2014-12-22,26458
2014-12-23,26468
2014-12-24,26433
2014-12-26,26894
2014-12-29,26598
2014-12-30,26908
2014-12-31,26594
2015-01-01,26586
2015-01-02,26700
2015-01-05,26847
2015-01-06,27385
2015-01-07,27159
2015-01-08,26808
2015-01-09,26806
2015-01-12,27032
2015-01-13,27071
2015-01-14,27210
2015-01-15,27493
2015-01-16,27673
2015-01-17,27627
2015-01-19,27718
2015-01-20,28098
2015-01-21,27992
2015-01-22,28055
2015-01-23,27884
2015-01-25,27887
2015-01-27,27934
2015-01-28,27795
2015-01-29,27470
2015-01-30,27911
2015-02-02,28071
2015-02-03,27687
2015-02-04,27814
2015-02-05,27683
2015-02-06,26968
2015-02-09,27119
2015-02-10,27016
2015-02-11,26817
2015-02-12,26635
2015-02-13,26694
2015-02-16,26742
2015-02-17,26241
2015-02-18,26181
2015-02-19,26294
2015-02-20,26317
2015-02-21,26319
2015-02-23,26178
2015-02-24,26077
2015-02-25,26142
2015-02-26,26239
2015-02-27,26206
2015-02-28,26480
2015-03-02,26541
2015-03-03,26453
2015-03-04,26539
2015-03-05,26473
2015-03-06,26058
2015-03-09,26062
2015-03-10,25960
2015-03-11,25716
2015-03-12,25690
2015-03-13,25909
2015-03-14,25922
2015-03-16,25797
2015-03-17,25635
2015-03-18,25653
2015-03-19,25970
2015-03-20,26195
2015-03-23,26208
2015-03-24,26350
2015-03-25,26491
2015-03-26,26805
2015-03-27,26564
2015-03-30,26239
2015-03-31,26061
2015-04-01,26510
2015-04-02,26548
2015-04-06,26941
2015-04-07,26829
2015-04-08,26682
2015-04-09,26452
2015-04-10,26703
2015-04-13,26616
2015-04-14,26454
2015-04-15,26644
2015-04-16,26533
2015-04-17,26702
2015-04-20,26719
2015-04-21,26803
2015-04-22,26489
2015-04-23,26777
2015-04-24,26574
2015-04-27,26944
2015-04-28,27036
2015-04-29,27096
2015-04-30,26593
2015-05-01,26483
2015-05-04,26747
2015-05-05,26852
2015-05-06,26928
2015-05-07,26951
2015-05-08,26903
2015-05-11,26853
2015-05-12,27180
2015-05-13,27539
2015-05-14,27444
2015-05-15,27473
2015-05-18,27629
2015-05-19,27309
2015-05-20,27299
2015-05-21,27130
2015-05-22,27105
2015-05-25,27180
2015-05-26,26917
2015-05-27,26900
2015-05-28,26899
2015-05-29,26866
2015-06-01,26690
2015-06-02,26856
2015-06-03,26806
2015-06-04,26564
2015-06-05,26439
2015-06-08,26693
2015-06-09,26754
2015-06-10,26850
2015-06-11,26772
2015-06-12,26773
2015-06-15,26915
2015-06-16,26831
2015-06-17,26763
2015-06-18,27031
2015-06-19,26959
2015-06-22,26589
2015-06-23,26478
2015-06-24,26418
2015-06-25,26365
2015-06-26,26399
2015-06-29,26508
2015-06-30,26301
2015-07-01,26182
2015-07-02,26024
2015-07-03,26393
2015-07-06,26335
2015-07-07,26032
2015-07-08,26222
2015-07-09,26071
2015-07-10,26071
2015-07-13,26033
2015-07-14,25934
2015-07-15,25852
2015-07-16,25774
2015-07-17,25505
2015-07-20,25042
2015-07-21,24908
2015-07-22,24688
2015-07-23,24742
2015-07-24,24729
2015-07-27,24910
2015-07-28,24768
2015-07-29,24729
2015-07-30,24739
2015-07-31,24789
2015-08-03,24696
